Country,Region,Level of transmission,Week,"''"
Austria,Burgenland,Not reported,2020-W01,-
Austria,Burgenland,Not reported,2020-W02,-
Austria,Burgenland,Not reported,2020-W03,-
Austria,Burgenland,Not reported,2020-W04,-
Austria,Burgenland,Not reported,2020-W05,-
Austria,Burgenland,Not reported,2020-W06,-
Austria,Burgenland,Not reported,2020-W07,-
Austria,Burgenland,Not reported,2020-W08,-
Austria,Burgenland,No cases,2020-W09,-
Austria,Burgenland,Sporadic,2020-W10,-
Austria,Burgenland,Sporadic,2020-W11,-
Austria,Burgenland,Clusters,2020-W12,-
Austria,Burgenland,Community,2020-W13,-
Austria,Burgenland,Clusters,2020-W14,-
Austria,Burgenland,Clusters,2020-W15,-
Austria,Burgenland,Clusters,2020-W16,-
Austria,Burgenland,Clusters,2020-W17,-
Austria,Burgenland,Clusters,2020-W18,-
Austria,Burgenland,Sporadic,2020-W19,-
Austria,Burgenland,Sporadic,2020-W20,-
Austria,Burgenland,Sporadic,2020-W21,-
Austria,Burgenland,Sporadic,2020-W22,-
Austria,Burgenland,No cases,2020-W23,-
Austria,Burgenland,No cases,2020-W24,-
Austria,Burgenland,Sporadic,2020-W25,-
Austria,Burgenland,Sporadic,2020-W26,-
Austria,Burgenland,Clusters,2020-W27,-
Austria,Burgenland,Sporadic,2020-W28,-
Austria,Burgenland,Clusters,2020-W29,-
Austria,Burgenland,Clusters,2020-W30,-
Austria,Burgenland,Clusters,2020-W31,-
Austria,Burgenland,Sporadic,2020-W32,-
Austria,Burgenland,Clusters,2020-W33,-
Austria,Burgenland,Sporadic,2020-W34,-
Austria,Burgenland,Clusters,2020-W35,-
Austria,Burgenland,Clusters,2020-W36,-
Austria,Burgenland,Community,2020-W37,-
Austria,Burgenland,Community,2020-W38,-
Austria,Burgenland,Not reported,2020-W39,-
Austria,Karnten,Not reported,2020-W01,-
Austria,Karnten,Not reported,2020-W02,-
Austria,Karnten,Not reported,2020-W03,-
Austria,Karnten,Not reported,2020-W04,-
Austria,Karnten,Not reported,2020-W05,-
Austria,Karnten,Not reported,2020-W06,-
Austria,Karnten,Not reported,2020-W07,-
Austria,Karnten,Not reported,2020-W08,-
Austria,Karnten,No cases,2020-W09,-
Austria,Karnten,Sporadic,2020-W10,-
Austria,Karnten,Clusters,2020-W11,-
Austria,Karnten,Clusters,2020-W12,-
Austria,Karnten,Clusters,2020-W13,-
Austria,Karnten,Clusters,2020-W14,-
Austria,Karnten,Clusters,2020-W15,-
Austria,Karnten,Sporadic,2020-W16,-
Austria,Karnten,Sporadic,2020-W17,-
Austria,Karnten,No cases,2020-W18,-
Austria,Karnten,Sporadic,2020-W19,-
Austria,Karnten,Sporadic,2020-W20,-
Austria,Karnten,No cases,2020-W21,-
Austria,Karnten,Sporadic,2020-W22,-
Austria,Karnten,Sporadic,2020-W23,-
Austria,Karnten,Sporadic,2020-W24,-
Austria,Karnten,Clusters,2020-W25,-
Austria,Karnten,Sporadic,2020-W26,-
Austria,Karnten,Sporadic,2020-W27,-
Austria,Karnten,Clusters,2020-W28,-
Austria,Karnten,Sporadic,2020-W29,-
Austria,Karnten,Sporadic,2020-W30,-
Austria,Karnten,Clusters,2020-W31,-
Austria,Karnten,Clusters,2020-W32,-
Austria,Karnten,Community,2020-W33,-
Austria,Karnten,Clusters,2020-W34,-
Austria,Karnten,Clusters,2020-W35,-
Austria,Karnten,Clusters,2020-W36,-
Austria,Karnten,Clusters,2020-W37,-
Austria,Karnten,Community,2020-W38,-
Austria,Karnten,Not reported,2020-W39,-
Austria,Niederosterreich,Not reported,2020-W01,-
Austria,Niederosterreich,Not reported,2020-W02,-
Austria,Niederosterreich,Not reported,2020-W03,-
Austria,Niederosterreich,Not reported,2020-W04,-
Austria,Niederosterreich,Not reported,2020-W05,-
Austria,Niederosterreich,Not reported,2020-W06,-
Austria,Niederosterreich,Not reported,2020-W07,-
Austria,Niederosterreich,Not reported,2020-W08,-
Austria,Niederosterreich,Sporadic,2020-W09,-
Austria,Niederosterreich,Clusters,2020-W10,-
Austria,Niederosterreich,Community,2020-W11,-
Austria,Niederosterreich,Community,2020-W12,-
Austria,Niederosterreich,Community,2020-W13,-
Austria,Niederosterreich,Community,2020-W14,-
Austria,Niederosterreich,Community,2020-W15,-
Austria,Niederosterreich,Clusters,2020-W16,-
Austria,Niederosterreich,Clusters,2020-W17,-
Austria,Niederosterreich,Clusters,2020-W18,-
Austria,Niederosterreich,Clusters,2020-W19,-
Austria,Niederosterreich,Clusters,2020-W20,-
Austria,Niederosterreich,Clusters,2020-W21,-
Austria,Niederosterreich,Clusters,2020-W22,-
Austria,Niederosterreich,Clusters,2020-W23,-
Austria,Niederosterreich,Clusters,2020-W24,-
Austria,Niederosterreich,Clusters,2020-W25,-
Austria,Niederosterreich,Clusters,2020-W26,-
Austria,Niederosterreich,Clusters,2020-W27,-
Austria,Niederosterreich,Clusters,2020-W28,-
Austria,Niederosterreich,Clusters,2020-W29,-
Austria,Niederosterreich,Community,2020-W30,-
Austria,Niederosterreich,Community,2020-W31,-
Austria,Niederosterreich,Community,2020-W32,-
Austria,Niederosterreich,Community,2020-W33,-
Austria,Niederosterreich,Community,2020-W34,-
Austria,Niederosterreich,Community,2020-W35,-
Austria,Niederosterreich,Community,2020-W36,-
Austria,Niederosterreich,Community,2020-W37,-
Austria,Niederosterreich,Community,2020-W38,-
Austria,Niederosterreich,Not reported,2020-W39,-
Austria,Oberosterreich,Not reported,2020-W01,-
Austria,Oberosterreich,Not reported,2020-W02,-
Austria,Oberosterreich,Not reported,2020-W03,-
Austria,Oberosterreich,Not reported,2020-W04,-
Austria,Oberosterreich,Not reported,2020-W05,-
Austria,Oberosterreich,Not reported,2020-W06,-
Austria,Oberosterreich,Not reported,2020-W07,-
Austria,Oberosterreich,Not reported,2020-W08,-
Austria,Oberosterreich,No cases,2020-W09,-
Austria,Oberosterreich,Sporadic,2020-W10,-
Austria,Oberosterreich,Community,2020-W11,-
Austria,Oberosterreich,Community,2020-W12,-
Austria,Oberosterreich,Community,2020-W13,-
Austria,Oberosterreich,Community,2020-W14,-
Austria,Oberosterreich,Clusters,2020-W15,-
Austria,Oberosterreich,Clusters,2020-W16,-
Austria,Oberosterreich,Clusters,2020-W17,-
Austria,Oberosterreich,Clusters,2020-W18,-
Austria,Oberosterreich,Sporadic,2020-W19,-
Austria,Oberosterreich,Sporadic,2020-W20,-
Austria,Oberosterreich,Clusters,2020-W21,-
Austria,Oberosterreich,Sporadic,2020-W22,-
Austria,Oberosterreich,Clusters,2020-W23,-
Austria,Oberosterreich,Clusters,2020-W24,-
Austria,Oberosterreich,Clusters,2020-W25,-
